Pickup_Latitude,Pickup_Longitude,Dropoff_Lattitude,Dropoff_Longitude,Counts
40.756,-73.968,40.752,-73.975,901
40.751,-73.994,40.759,-73.988,900
40.756,-73.991,40.759,-73.979,897
40.762,-73.983,40.75,-73.992,894
40.75,-73.972,40.75,-73.991,893
40.764,-73.971,40.774,-73.964,893
40.751,-73.994,40.757,-73.974,892
40.75,-73.991,40.757,-73.983,890
40.756,-73.973,40.774,-73.871,890
40.751,-73.994,40.763,-73.986,888
40.757,-73.99,40.754,-73.978,888
40.756,-73.973,40.774,-73.873,887
40.751,-73.994,40.758,-73.975,885
40.761,-73.991,40.75,-73.995,885
40.732,-73.982,40.74,-73.976,884
40.744,-73.973,40.752,-73.977,883
40.751,-73.994,40.756,-74.001,883
40.768,-73.964,40.765,-73.955,882
40.762,-73.966,40.768,-73.956,880
40.762,-73.968,40.752,-73.975,880
40.751,-73.994,40.751,-73.974,879
40.751,-73.994,40.754,-73.978,879
40.751,-73.994,40.757,-73.972,879
40.756,-73.977,40.761,-73.98,879
40.772,-73.983,40.75,-73.995,879
40.751,-73.994,40.753,-74.004,878
40.768,-73.964,40.767,-73.954,877
40.728,-74.007,40.75,-73.995,876
40.75,-73.992,40.758,-73.982,875
40.721,-74.01,40.75,-73.995,874
40.645,-73.777,40.646,-73.777,873
40.75,-73.991,40.761,-73.98,872
40.75,-73.992,40.756,-73.983,872
40.75,-73.995,40.752,-74.005,872
40.75,-73.991,40.754,-73.978,871
40.779,-73.962,40.759,-73.977,871
40.765,-73.988,40.75,-73.995,869
40.774,-73.873,40.757,-73.974,869
40.776,-73.947,40.779,-73.955,869
40.751,-73.991,40.741,-73.988,867
40.751,-73.991,40.742,-73.975,866
40.769,-73.961,40.779,-73.954,866
40.774,-73.871,40.752,-73.977,866
40.743,-73.984,40.739,-73.977,865
40.645,-73.782,40.758,-73.989,864
40.772,-73.961,40.763,-73.968,864
40.751,-73.994,40.756,-73.99,862
40.764,-73.956,40.752,-73.975,861
40.757,-73.974,40.75,-73.991,859
40.758,-73.989,40.758,-74.001,859
40.769,-73.863,40.752,-73.977,859
40.768,-73.982,40.765,-73.974,858
40.774,-73.873,40.756,-73.972,858
40.758,-73.989,40.774,-73.871,856
40.75,-73.992,40.752,-73.977,855
40.744,-73.983,40.751,-73.978,854
40.744,-73.984,40.749,-73.992,854
40.755,-73.973,40.749,-73.992,854
40.75,-73.991,40.744,-73.986,853
40.756,-73.991,40.755,-73.977,852
40.744,-73.986,40.753,-73.979,849
40.752,-73.978,40.759,-74,849
40.752,-73.994,40.756,-74.003,849
40.763,-73.974,40.752,-73.982,848
40.78,-73.956,40.785,-73.969,848
40.752,-73.977,40.757,-73.99,846
40.774,-73.871,40.759,-73.986,846
40.789,-73.955,40.792,-73.964,846
40.786,-73.951,40.78,-73.955,845
40.77,-73.863,40.756,-73.973,844
40.755,-73.978,40.75,-73.991,843
40.776,-73.962,40.782,-73.972,843
40.74,-73.995,40.75,-73.988,840
40.753,-73.978,40.75,-73.992,840
40.757,-73.99,40.76,-73.98,840
40.762,-73.966,40.773,-73.958,840
40.769,-73.863,40.756,-73.972,840
40.74,-74.002,40.744,-74.007,839
40.758,-73.978,40.75,-73.991,839
40.762,-73.966,40.775,-73.957,838
40.769,-73.863,40.757,-73.974,836
40.745,-73.991,40.755,-73.984,835
40.765,-73.964,40.772,-73.959,834
40.742,-73.993,40.749,-73.992,833
40.645,-73.782,40.757,-73.972,831
40.75,-73.991,40.76,-73.98,831
40.746,-73.978,40.75,-73.991,830
40.774,-73.871,40.757,-73.974,830
40.756,-73.973,40.75,-73.992,829
40.779,-73.955,40.773,-73.946,829
40.74,-73.987,40.751,-73.979,828
40.743,-73.984,40.751,-73.979,828
40.756,-73.991,40.766,-73.983,828
40.751,-73.994,40.761,-73.98,827
40.763,-73.982,40.758,-74.001,826
40.751,-73.994,40.76,-73.981,825
40.762,-73.966,40.777,-73.955,825
40.774,-73.874,40.762,-73.979,825
40.75,-73.995,40.753,-73.979,824
40.759,-73.986,40.75,-73.992,824
40.774,-73.873,40.759,-73.986,823
40.751,-73.994,40.764,-73.979,822
40.756,-73.975,40.75,-73.991,822
40.757,-73.99,40.756,-73.976,822
40.757,-73.99,40.759,-73.979,822
40.749,-73.992,40.756,-73.991,821
40.76,-73.965,40.752,-73.975,821
40.645,-73.782,40.756,-73.973,818
40.761,-73.984,40.751,-73.991,818
40.771,-73.96,40.779,-73.954,818
40.774,-73.871,40.759,-73.989,817
40.757,-73.99,40.757,-73.977,816
40.762,-73.966,40.77,-73.96,816
40.749,-73.992,40.742,-73.985,815
40.75,-73.992,40.755,-73.984,814
40.756,-73.991,40.75,-73.991,814
40.756,-73.973,40.751,-73.991,812
40.751,-73.994,40.769,-73.989,810
40.749,-74.003,40.75,-73.995,809
40.762,-73.99,40.75,-73.995,809
40.765,-73.97,40.775,-73.963,809
40.751,-73.974,40.75,-73.991,807
40.755,-73.973,40.774,-73.871,807
40.774,-73.871,40.765,-73.981,807
40.75,-73.992,40.744,-73.986,806
40.714,-74.015,40.75,-73.995,804
40.758,-73.982,40.75,-73.991,804
40.763,-73.974,40.748,-73.985,804
40.741,-73.981,40.749,-73.992,803
40.757,-73.985,40.75,-73.991,803
40.762,-73.975,40.75,-73.991,803
40.75,-73.992,40.759,-73.981,802
40.769,-73.961,40.777,-73.955,802
40.774,-73.875,40.757,-73.972,801
40.75,-73.991,40.752,-73.98,800
40.764,-73.974,40.754,-73.978,800
40.743,-73.98,40.752,-73.977,799
40.75,-73.991,40.739,-73.977,799
40.759,-73.981,40.75,-73.991,799
40.774,-73.873,40.752,-73.976,799
40.751,-73.991,40.757,-74.004,798
40.752,-73.978,40.751,-73.99,798
40.788,-73.977,40.779,-73.982,798
40.752,-73.975,40.741,-73.986,797
40.774,-73.871,40.756,-73.972,796
40.779,-73.956,40.772,-73.961,796
40.759,-73.977,40.75,-73.991,795
40.756,-73.991,40.756,-73.976,794
40.763,-73.972,40.774,-73.964,794
40.75,-73.992,40.752,-73.979,793
40.756,-73.991,40.76,-73.981,793
40.756,-73.991,40.765,-73.984,792
40.79,-73.948,40.78,-73.955,792
40.739,-73.987,40.75,-73.979,791
40.751,-73.994,40.755,-73.974,791
40.756,-73.977,40.764,-73.971,791
40.76,-73.995,40.77,-73.988,791
40.709,-74.015,40.75,-73.995,790
40.75,-73.992,40.76,-73.981,790
40.732,-73.988,40.749,-73.992,789
40.756,-73.982,40.75,-73.991,789
40.768,-73.982,40.764,-73.974,789
40.735,-73.99,40.751,-73.978,788
40.75,-73.991,40.751,-73.974,787
40.764,-73.981,40.75,-73.992,785
40.77,-73.96,40.779,-73.954,784
40.765,-73.97,40.774,-73.964,783
40.732,-74.007,40.75,-73.995,782
40.741,-74.001,40.75,-73.995,782
40.756,-73.979,40.75,-73.991,782
40.77,-73.864,40.757,-73.972,782
40.714,-74.012,40.721,-74.01,781
40.746,-73.972,40.752,-73.977,781
40.75,-73.991,40.742,-73.985,781
40.645,-73.782,40.763,-73.982,780
40.732,-73.982,40.741,-73.975,780
40.645,-73.782,40.75,-73.991,779
